push_x,push_y,push_ori,rot,trans_x,trans_y,deformation,result_points,delta_p,delta_r
-0.23125000298023224,-0.18125000596046448,0.0,-4.440892098500626e-16,-0.19318516525781368,-0.05176380902050416,0.03475446879704226,"[[-0.48724400997161865, -0.23311921954154968], [0.08907730877399445, -0.28593915700912476], [0.13270118832588196, 0.06505527347326279], [-0.4442615807056427, 0.13637621700763702]]",[-0.17743177 -0.07940672],-6.341375690204541
-0.23125000298023224,-0.18125000596046448,0.0,-0.2617993877991498,-0.19318516525781368,-0.05176380902050416,0.03538503110887321,"[[-0.48511311411857605, -0.2169428914785385], [0.09300892800092697, -0.31223931908607483], [0.14722780883312225, 0.0371100939810276], [-0.42290061712265015, 0.13701093196868896]]",[-0.16694425 -0.0887653 ],-9.579952341912623
-0.23125000298023224,-0.18125000596046448,0.0,-0.5235987755982991,-0.19318516525781368,-0.05176380902050416,0.10378733761708296,"[[-0.47886934876441956, -0.20186930894851685], [0.09063447266817093, -0.3353431224822998], [0.1514175981283188, 0.016267694532871246], [-0.418878972530365, 0.12043742835521698]]",[-0.16392406 -0.10012683],-11.347288799304303
-0.23125000298023224,-0.18125000596046448,0.0,-4.440892098500626e-16,-0.17320508075688773,-0.10000000000000003,0.008045660694404759,"[[-0.46726250648498535, -0.2813548147678375], [0.11472078412771225, -0.28403228521347046], [0.12555626034736633, 0.06992511451244354], [-0.4556252658367157, 0.08789968490600586]]",[-0.17065268 -0.10189058],-1.2284007614557564
-0.23125000298023224,-0.18125000596046448,0.0,-0.2617993877991498,-0.17320508075688773,-0.10000000000000003,0.061523252379989964,"[[-0.46513310074806213, -0.26517921686172485], [0.12032899260520935, -0.317111998796463], [0.13949784636497498, 0.03747845068573952], [-0.43720266222953796, 0.07797468453645706]]",[-0.16062723 -0.11670952],-4.3623213148682884
-0.23125000298023224,-0.18125000596046448,0.0,0.2617993877991489,-0.17320508075688773,-0.10000000000000003,0.07825803050603533,"[[-0.46513307094573975, -0.2975315451622009], [0.11308030039072037, -0.27344948053359985], [0.10700403898954391, 0.08179865032434464], [-0.4737389385700226, 0.07695136964321136]]",[-0.17969692 -0.10305775],1.352428376415023
-0.23125000298023224,-0.18125000596046448,0.0,-4.440892098500626e-16,-0.14142135623730953,-0.1414213562373095,0.02188180996625153,"[[-0.43548011779785156, -0.32277706265449524], [0.1513042151927948, -0.2845722734928131], [0.12869268655776978, 0.06916414946317673], [-0.448912650346756, 0.03973077982664108]]",[-0.15109897 -0.1246136 ],3.202670040904468
-0.23125000298023224,-0.18125000596046448,0.0,0.2617993877991489,-0.14142135623730953,-0.1414213562373095,0.04865393795996878,"[[-0.4333494007587433, -0.33895301818847656], [0.13941824436187744, -0.25917384028434753], [0.10948889702558517, 0.09367049485445023], [-0.47248631715774536, 0.032704032957553864]]",[-0.16423214 -0.11793808],6.530977607064694
-0.23125000298023224,-0.18125000596046448,0.0,-0.2617993877991498,-0.14142135623730953,-0.1414213562373095,0.09160743189325936,"[[-0.4333494007587433, -0.3066004514694214], [0.152894526720047, -0.3060498833656311], [0.13603663444519043, 0.04912988469004631], [-0.4430364966392517, 0.026476917788386345]]",[-0.14686368 -0.13426088],1.4256987029483366
-0.23125000298023224,-0.18125000596046448,0.0,0.2617993877991489,-0.10000000000000007,-0.17320508075688767,0.023248669422704336,"[[-0.39192792773246765, -0.370736688375473], [0.18213433027267456, -0.2487146258354187], [0.11462114006280899, 0.10046765953302383], [-0.45521366596221924, -0.006917404476553202]]",[-0.13759653 -0.13147526],11.078641033475987
-0.23125000298023224,-0.18125000596046448,0.0,-4.440892098500626e-16,-0.10000000000000007,-0.17320508075688767,0.04829110818500502,"[[-0.39405739307403564, -0.35456031560897827], [0.18896308541297913, -0.2706698775291443], [0.13362792134284973, 0.07995697855949402], [-0.43853145837783813, -0.00546652264893055]]",[-0.12749946 -0.13768493],8.278567740816952
-0.23125000298023224,-0.18125000596046448,0.0,0.5235987755982983,-0.10000000000000007,-0.17320508075688767,0.09825702976903992,"[[-0.38568443059921265, -0.38581061363220215], [0.176478311419487, -0.24154475331306458], [0.09728517383337021, 0.10578852891921997], [-0.4682924151420593, -0.02355995774269104]]",[-0.14505334 -0.1362817 ],13.416846150288931
-0.23125000298023224,-0.18125000596046448,0.0,0.2617993877991489,-0.051763809020504134,-0.19318516525781368,0.009838157333932106,"[[-0.34369200468063354, -0.3907167911529541], [0.2225845456123352, -0.22513243556022644], [0.12550687789916992, 0.11647994816303253], [-0.43205103278160095, -0.03548891842365265]]",[-0.1069129  -0.13371455],15.536775124799492
-0.23125000298023224,-0.18125000596046448,0.0,0.5235987755982983,-0.051763809020504134,-0.19318516525781368,0.06874368414083408,"[[-0.3374481201171875, -0.4057905673980713], [0.20975394546985626, -0.20721572637557983], [0.103395476937294, 0.12891262769699097], [-0.448905348777771, -0.049961257725954056]]",[-0.11830101 -0.13351373],18.537689312451647
-0.23125000298023224,-0.18125000596046448,0.0,-4.440892098500626e-16,-0.051763809020504134,-0.19318516525781368,0.07474963063113292,"[[-0.3458217978477478, -0.37454113364219666], [0.22915740311145782, -0.24741293489933014], [0.14076568186283112, 0.09639818966388702], [-0.4193669557571411, -0.04074236750602722]]",[-0.09881642 -0.14157456],13.195857068673416
-0.23125000298023224,-0.18125000596046448,0.0,0.2617993877991489,-3.6739403974420595e-17,-0.2,0.024043098334007026,"[[-0.29192784428596497, -0.3975314199924469], [0.2689216136932373, -0.20105458796024323], [0.14875978231430054, 0.13452459871768951], [-0.39662298560142517, -0.0540352500975132]]",[-0.06771736 -0.12952416],18.95319598758472
-0.23125000298023224,-0.18125000596046448,0.0,0.5235987755982983,-3.6739403974420595e-17,-0.2,0.047468952107493315,"[[-0.2856842577457428, -0.41260552406311035], [0.2570519745349884, -0.17782367765903473], [0.12170766294002533, 0.15133988857269287], [-0.4153502285480499, -0.06752603501081467]]",[-0.08056871 -0.12665384],22.42123119846031
-0.23125000298023224,-0.18125000596046448,0.0,-4.440892098500626e-16,-3.6739403974420595e-17,-0.2,0.097850059761095,"[[-0.2940579056739807, -0.3813546597957611], [0.2710800766944885, -0.21534864604473114], [0.15435229241847992, 0.11831623315811157], [-0.3913288116455078, -0.06384220719337463]]",[-0.06498859 -0.13555732],17.612742991363866
-0.23125000298023224,-0.18125000596046448,0.0,0.5235987755982983,0.05176380902050407,-0.1931851652578137,0.03227315285076104,"[[-0.23392066359519958, -0.40579068660736084], [0.2959577143192291, -0.14617691934108734], [0.14734932780265808, 0.1759507656097412], [-0.37824535369873047, -0.06723348796367645]]",[-0.04221474 -0.11081258],25.041577857086406
