push_x,push_y,push_ori,rot,trans_x,trans_y,deformation,result_points
-0.23125000298023224,-0.18125000596046448,0.0,-0.2617993877991498,-0.48296291314453416,-0.1294095225512604,0.011144891580654829,"[[-0.7725213766098022, -0.2795880138874054], [-0.20428654551506042, -0.4332253038883209], [-0.11453107744455338, -0.08454703539609909], [-0.6795509457588196, 0.06343516707420349]]"
-0.23125000298023224,-0.18125000596046448,0.0,-4.440892098500626e-16,-0.48296291314453416,-0.1294095225512604,0.06451539065984611,"[[-0.775254487991333, -0.29568126797676086], [-0.20048587024211884, -0.41262155771255493], [-0.1283111423254013, -0.05953674390912056], [-0.701837420463562, 0.05677857995033264]]"
-0.23125000298023224,-0.18125000596046448,0.0,-0.5235987755982991,-0.48296291314453416,-0.1294095225512604,0.06992002379989964,"[[-0.7657952904701233, -0.26431456208229065], [-0.2144566923379898, -0.46756988763809204], [-0.10311509668827057, -0.12521536648273468], [-0.6580721139907837, 0.05353320762515068]]"
-0.23125000298023224,-0.18125000596046448,0.0,-4.440892098500626e-16,-0.4330127018922193,-0.25000000000000006,0.0145456346414857,"[[-0.7248209714889526, -0.41628727316856384], [-0.13898345828056335, -0.44696924090385437], [-0.12126938998699188, -0.08737099170684814], [-0.7051424980163574, -0.06194628030061722]]"
-0.23125000298023224,-0.18125000596046448,0.0,-0.2617993877991498,-0.4330127018922193,-0.25000000000000006,0.05135183887328557,"[[-0.7223840355873108, -0.40023866295814514], [-0.14063771069049835, -0.48240500688552856], [-0.09988994151353836, -0.12473408132791519], [-0.679385244846344, -0.06014701724052429]]"
-0.23125000298023224,-0.18125000596046448,0.0,0.2617993877991489,-0.4330127018922193,-0.25000000000000006,0.08782652991887824,"[[-0.723164439201355, -0.432367742061615], [-0.140955850481987, -0.4342397451400757], [-0.13701868057250977, -0.07402009516954422], [-0.7227364182472229, -0.07435035705566406]]"
-0.23125000298023224,-0.18125000596046448,0.0,0.2617993877991489,-0.35355339059327384,-0.35355339059327373,0.029062398728465097,"[[-0.6435863971710205, -0.535929799079895], [-0.06676479429006577, -0.4369198977947235], [-0.12885963916778564, -0.0821276530623436], [-0.7039607763290405, -0.1855897456407547]]"
-0.23125000298023224,-0.18125000596046448,0.0,-4.440892098500626e-16,-0.35355339059327384,-0.35355339059327373,0.035851250409441905,"[[-0.6442461013793945, -0.5187395215034485], [-0.060173459351062775, -0.4741443991661072], [-0.09772603958845139, -0.11639361083507538], [-0.6785247325897217, -0.17384463548660278]]"
-0.23125000298023224,-0.18125000596046448,0.0,-0.2617993877991498,-0.35355339059327384,-0.35355339059327373,0.09536361490159456,"[[-0.6428743004798889, -0.5038118958473206], [-0.05697043240070343, -0.5132458806037903], [-0.07334773987531662, -0.15384066104888916], [-0.6558146476745605, -0.176463320851326]]"
-0.23125000298023224,-0.18125000596046448,0.0,0.2617993877991489,-0.2500000000000002,-0.4330127018922192,0.016545435746369033,"[[-0.5398755669593811, -0.615413248538971], [0.02170177735388279, -0.4483809769153595], [-0.08538862317800522, -0.10464959591627121], [-0.6420864462852478, -0.2806592285633087]]"
-0.23125000298023224,-0.18125000596046448,0.0,0.5235987755982983,-0.2500000000000002,-0.4330127018922192,0.04888747229733497,"[[-0.5342711806297302, -0.6303818225860596], [0.006500060670077801, -0.4154103398323059], [-0.12548281252384186, -0.08053858578205109], [-0.6679141521453857, -0.30067941546440125]]"
