cp_id,trans_x,trans_y,rot,deformation
0,0.2,0.0,-0.5235987755982988,0.01872362588581286
0,0.2,0.0,-0.7853981633974483,0.02811710458052786
0,0.2,0.0,-1.0471975511965976,0.06668875719371595
0,0.19318516525781368,0.05176380902050415,-0.5235987755982988,0.011737978772113198
0,0.19318516525781368,0.05176380902050415,-0.7853981633974483,0.02202055956188001
0,0.19318516525781368,0.05176380902050415,-0.2617993877991494,0.06284949654027035
0,0.17320508075688776,0.09999999999999999,-0.5235987755982988,0.0033010224762715793
0,0.17320508075688776,0.09999999999999999,-0.7853981633974483,0.02617038551129793
0,0.17320508075688776,0.09999999999999999,-0.2617993877991494,0.048493651967299614
0,0.14142135623730953,0.1414213562373095,-0.5235987755982988,0.008817937813307109
0,0.14142135623730953,0.1414213562373095,-0.2617993877991494,0.028426945209503174
0,0.14142135623730953,0.1414213562373095,-0.7853981633974483,0.03540290656842684
0,0.10000000000000003,0.17320508075688773,-0.2617993877991494,0.00904414293013121
0,0.10000000000000003,0.17320508075688773,-0.5235987755982988,0.018419921398162842
0,0.10000000000000003,0.17320508075688773,-0.7853981633974483,0.05025641228023328
0,0.05176380902050415,0.19318516525781368,-0.2617993877991494,0.005002553525723909
0,0.05176380902050415,0.19318516525781368,0.0,0.030277001230340255
0,0.05176380902050415,0.19318516525781368,-0.5235987755982988,0.03116796518626966
0,1.2246467991473533e-17,0.2,0.0,0.009792683940184744
0,1.2246467991473533e-17,0.2,-0.2617993877991494,0.016252941206881876
0,1.2246467991473533e-17,0.2,-0.5235987755982988,0.05178681800239965
0,-0.051763809020504176,0.19318516525781368,0.0,0.0036625713109970093
0,-0.051763809020504176,0.19318516525781368,0.2617993877991494,0.02750369435862491
0,-0.051763809020504176,0.19318516525781368,-0.2617993877991494,0.0327795618458798
0,-0.09999999999999996,0.17320508075688776,0.2617993877991494,0.010990129489647714
0,-0.09999999999999996,0.17320508075688776,0.0,0.015645223228554977
0,-0.09999999999999996,0.17320508075688776,0.5235987755982988,0.04628280275746396
0,-0.1414213562373095,0.14142135623730953,0.2617993877991494,0.002746534974951493
0,-0.1414213562373095,0.14142135623730953,0.5235987755982988,0.026905028443587452
0,-0.1414213562373095,0.14142135623730953,0.0,0.035033433060897026
0,-0.17320508075688776,0.09999999999999999,0.2617993877991494,0.014152514307122482
